studid,sname,sloc,sstrm,syop,sdp,ssp,ssec,gender,performance
137,"Priya Gupta",Pune,"Electronics Engineering",2025,69,71,71,f,A
139,"Priya Gupta",Lucknow,"Mechanical Engineering",2024,61,71,89,f,A
140,"Ravi Patel",Delhi,"Computer Science",2024,66,92,74,m,A
142,"Ananya Sharma",Ahmedabad,"IT Engineering",2023,88,72,76,f,A
145,"Ananya Sharma",Indore,"Electronics Engineering",2025,69,73,85,f,A
147,"Karan Verma",Indore,"Civil Engineering",2024,76,77,71,m,A
148,"Ananya Sharma",Mumbai,"Civil Engineering",2025,69,78,82,f,A
150,"Karan Verma",Bangalore,"IT Engineering",2023,72,74,67,m,A
151,"Rahul Mehta",Ahmedabad,"Mechanical Engineering",2024,77,75,74,m,A
152,"Ananya Sharma",Jaipur,"IT Engineering",2023,63,88,70,f,A
155,"Ananya Sharma",Chennai,"Mechanical Engineering",2023,67,73,84,f,A
158,"Meera Iyer",Pune,"Electronics Engineering",2025,63,91,72,f,A
161,"Karan Verma",Indore,"IT Engineering",2024,77,72,67,m,A
164,"Arjun Singh",Chennai,"Information Tech",2025,69,71,88,m,A
166,"Ravi Patel",Hyderabad,"Electronics Engineering",2024,85,79,70,m,A
167,"Ravi Patel",Pune,"Mechanical Engineering",2024,63,73,89,m,A
168,"Tanya Jain",Indore,"Electrical Engineering",2025,84,84,69,f,A
169,"Karan Verma",Mumbai,"Information Tech",2025,76,81,78,m,A
176,"Ananya Sharma",Mumbai,"Civil Engineering",2024,76,94,66,f,A
180,"Rahul Mehta",Lucknow,"Electrical Engineering",2023,81,76,78,m,A
182,"Ananya Sharma",Indore,"Computer Science",2024,74,78,79,f,A
183,"Meera Iyer",Hyderabad,"Computer Science",2025,62,73,86,f,A
184,"Tanya Jain",Ahmedabad,"Electrical Engineering",2025,70,92,70,f,A
185,"Priya Gupta",Lucknow,"Civil Engineering",2023,70,71,80,f,A
186,"Rahul Mehta",Mumbai,"Civil Engineering",2023,76,87,66,m,A
187,"Tanya Jain",Delhi,"Information Tech",2023,71,80,83,f,A
188,"Meera Iyer",Hyderabad,"Electronics Engineering",2025,77,72,88,f,A
189,"Sneha Reddy",Indore,"IT Engineering",2025,83,73,67,f,A
190,"Priya Gupta",Jaipur,"Information Tech",2023,66,82,81,f,A
192,"Sneha Reddy",Jaipur,"Civil Engineering",2024,63,83,86,f,A
197,"Rahul Mehta",Indore,"Electronics Engineering",2024,61,85,71,m,A
199,"Vishal Dubey",Mumbai,"Electrical Engineering",2023,90,71,69,m,A
200,"Ananya Sharma",Chennai,"Electronics Engineering",2023,64,90,76,f,A
205,"Meera Iyer",Bangalore,"Electrical Engineering",2025,70,77,79,f,A
206,"Karan Verma",Indore,"Electrical Engineering",2023,75,89,74,m,A
207,"Vishal Dubey",Ahmedabad,"Information Tech",2023,79,84,73,m,A
209,"Arjun Singh",Bangalore,"Information Tech",2023,83,71,80,m,A
211,"Ananya Sharma",Chennai,"Computer Science",2023,70,76,68,f,A
212,"Priya Gupta",Pune,"Information Tech",2024,61,93,70,f,A
214,"Tanya Jain",Hyderabad,"Mechanical Engineering",2024,69,90,76,f,A
216,"Karan Verma",Ahmedabad,"Civil Engineering",2025,69,80,78,m,A
217,"Sneha Reddy",Lucknow,"Computer Science",2025,62,91,84,f,A
221,"Priya Gupta",Hyderabad,"Civil Engineering",2023,70,79,78,f,A
223,"Arjun Singh",Bangalore,"Electrical Engineering",2023,64,76,72,m,A
226,"Ravi Patel",Jaipur,"Electronics Engineering",2025,66,76,73,m,A
227,"Karan Verma",Hyderabad,"Mechanical Engineering",2023,75,74,78,m,A
228,"Rahul Mehta",Pune,"Civil Engineering",2024,67,84,82,m,A
229,"Ananya Sharma",Indore,"Information Tech",2024,65,70,70,f,A
230,"Sneha Reddy",Bangalore,"IT Engineering",2024,70,89,73,f,A
231,"Priya Gupta",Mumbai,"Mechanical Engineering",2025,71,93,66,f,A
232,"Sneha Reddy",Pune,"IT Engineering",2024,78,72,86,f,A
234,"Sneha Reddy",Bangalore,"Mechanical Engineering",2023,61,94,73,f,A
238,"Ravi Patel",Ahmedabad,"Civil Engineering",2025,74,76,68,m,A
240,"Rahul Mehta",Ahmedabad,"Computer Science",2025,66,78,82,m,A
242,"Priya Gupta",Lucknow,"Electronics Engineering",2024,75,78,81,f,A
244,"Ravi Patel",Delhi,"Mechanical Engineering",2025,67,92,66,m,A
246,"Meera Iyer",Jaipur,"Electrical Engineering",2025,69,73,85,f,A
248,"Sneha Reddy",Hyderabad,"Computer Science",2024,69,79,85,f,A
250,"Tanya Jain",Pune,"Mechanical Engineering",2025,66,70,84,f,A
251,"Karan Verma",Ahmedabad,"IT Engineering",2024,65,88,82,m,A
253,"Rahul Mehta",Hyderabad,"IT Engineering",2024,76,71,71,m,A
254,"Rahul Mehta",Indore,"Computer Science",2025,65,82,82,m,A
255,"Rahul Mehta",Chennai,"Electrical Engineering",2025,71,85,81,m,A
257,"Tanya Jain",Hyderabad,"Electronics Engineering",2024,67,78,81,f,A
258,"Karan Verma",Hyderabad,"Electronics Engineering",2025,68,81,86,m,A
260,"Ananya Sharma",Jaipur,"Electrical Engineering",2023,78,81,77,f,A
263,"Priya Gupta",Delhi,"IT Engineering",2024,82,78,66,f,A
264,"Ananya Sharma",Pune,"Electronics Engineering",2024,67,85,66,f,A
267,"Tanya Jain",Mumbai,"IT Engineering",2025,70,73,76,f,A
268,"Arjun Singh",Pune,"Electrical Engineering",2024,70,85,76,m,A
269,"Karan Verma",Lucknow,"Electronics Engineering",2024,60,70,74,m,A
270,"Rahul Mehta",Jaipur,"Civil Engineering",2024,86,86,67,m,A
277,"Rahul Mehta",Jaipur,"Mechanical Engineering",2023,72,84,70,m,A
278,"Sneha Reddy",Pune,"IT Engineering",2023,67,75,74,f,A
279,"Meera Iyer",Jaipur,"IT Engineering",2025,65,92,80,f,A
281,"Ananya Sharma",Lucknow,"Mechanical Engineering",2023,74,76,75,f,A
282,"Meera Iyer",Bangalore,"Electrical Engineering",2025,79,74,86,f,A
288,"Sneha Reddy",Chennai,"Civil Engineering",2023,70,70,80,f,A
289,"Arjun Singh",Bangalore,"Mechanical Engineering",2023,67,88,80,m,A
293,"Ananya Sharma",Pune,"Civil Engineering",2025,61,80,85,f,A
294,"Ravi Patel",Bangalore,"Electronics Engineering",2025,74,75,87,m,A
295,"Priya Gupta",Jaipur,"IT Engineering",2024,61,83,89,f,A
296,"Karan Verma",Hyderabad,"Civil Engineering",2023,62,79,74,m,A
297,"Ananya Sharma",Hyderabad,"Information Tech",2024,77,87,67,f,A
299,"Ananya Sharma",Jaipur,"Electrical Engineering",2024,82,71,83,f,A
300,"Arjun Singh",Bangalore,"Mechanical Engineering",2024,75,82,80,m,A
301,"Sneha Reddy",Mumbai,"Electronics Engineering",2025,65,86,72,f,A
303,"Arjun Singh",Jaipur,"Information Tech",2024,73,87,70,m,A
304,"Karan Verma",Ahmedabad,"Civil Engineering",2025,62,90,67,m,A
305,"Rahul Mehta",Jaipur,"Computer Science",2024,79,82,77,m,A
306,"Arjun Singh",Pune,"IT Engineering",2024,88,81,67,m,A
307,"Meera Iyer",Lucknow,"Information Tech",2025,72,83,68,f,A
308,"Rahul Mehta",Jaipur,"Information Tech",2025,64,76,89,m,A
310,"Arjun Singh",Hyderabad,"Computer Science",2024,72,82,80,m,A
311,"Karan Verma",Mumbai,"Electronics Engineering",2023,72,76,88,m,A
312,"Sneha Reddy",Bangalore,"Computer Science",2023,73,73,71,f,A
314,"Sneha Reddy",Jaipur,"Electrical Engineering",2023,76,85,73,f,A
315,"Ravi Patel",Bangalore,"Electrical Engineering",2023,68,85,82,m,A
316,"Ananya Sharma",Bangalore,"Electrical Engineering",2025,62,92,71,f,A
318,"Tanya Jain",Bangalore,"IT Engineering",2023,70,82,71,f,A
319,"Ravi Patel",Pune,"Electronics Engineering",2024,68,73,78,m,A
321,"Sneha Reddy",Pune,"Computer Science",2024,61,76,78,f,A
322,"Ravi Patel",Pune,"Civil Engineering",2023,73,82,73,m,A
323,"Meera Iyer",Hyderabad,"Electrical Engineering",2025,87,86,66,f,A
324,"Meera Iyer",Chennai,"Civil Engineering",2025,68,92,71,f,A
326,"Meera Iyer",Chennai,"Information Tech",2024,84,83,72,f,A
329,"Karan Verma",Indore,"Electrical Engineering",2025,71,82,80,m,A
330,"Ananya Sharma",Chennai,"IT Engineering",2025,83,83,67,f,A
331,"Rahul Mehta",Pune,"Civil Engineering",2024,77,91,66,m,A
332,"Priya Gupta",Mumbai,"Electronics Engineering",2023,77,70,78,f,A
334,"Sneha Reddy",Lucknow,"IT Engineering",2025,70,88,81,f,A
335,"Vishal Dubey",Mumbai,"Electronics Engineering",2025,70,78,80,m,A
336,"Ravi Patel",Jaipur,"Electronics Engineering",2025,62,91,74,m,A
337,"Ananya Sharma",Jaipur,"Civil Engineering",2025,66,71,73,f,A
339,"Priya Gupta",Indore,"Electrical Engineering",2023,67,77,90,f,A
340,"Meera Iyer",Bangalore,"Civil Engineering",2025,80,75,76,f,A
341,"Ravi Patel",Pune,"Information Tech",2024,63,89,87,m,A
342,"Karan Verma",Pune,"Electrical Engineering",2025,65,70,78,m,A
344,"Tanya Jain",Bangalore,"Information Tech",2023,82,72,84,f,A
345,"Vishal Dubey",Lucknow,"Electronics Engineering",2023,78,85,73,m,A
346,"Sneha Reddy",Bangalore,"Information Tech",2025,68,94,71,f,A
347,"Meera Iyer",Ahmedabad,"Civil Engineering",2024,78,82,72,f,A
348,"Vishal Dubey",Bangalore,"Electronics Engineering",2025,71,78,88,m,A
349,"Arjun Singh",Bangalore,"Electronics Engineering",2024,71,92,68,m,A
351,"Karan Verma",Delhi,"Computer Science",2025,77,81,74,m,A
352,"Rahul Mehta",Hyderabad,"Information Tech",2023,85,79,73,m,A
353,"Karan Verma",Hyderabad,"Civil Engineering",2025,78,72,82,m,A
354,"Ananya Sharma",Lucknow,"Mechanical Engineering",2025,67,75,69,f,A
355,"Rahul Mehta",Mumbai,"Information Tech",2025,63,74,81,m,A
356,"Sneha Reddy",Delhi,"Mechanical Engineering",2023,71,74,89,f,A
357,"Priya Gupta",Hyderabad,"Information Tech",2025,74,75,74,f,A
358,"Ananya Sharma",Lucknow,"Computer Science",2024,68,70,80,f,A
359,"Karan Verma",Mumbai,"Mechanical Engineering",2023,61,79,66,m,A
360,"Sneha Reddy",Bangalore,"Civil Engineering",2024,66,77,74,f,A
361,"Rahul Mehta",Delhi,"Information Tech",2025,61,87,73,m,A
362,"Meera Iyer",Mumbai,"Electrical Engineering",2024,66,91,70,f,A
363,"Ravi Patel",Indore,"Electronics Engineering",2024,74,73,66,m,A
364,"Tanya Jain",Ahmedabad,"IT Engineering",2023,78,77,80,f,A
365,"Rahul Mehta",Delhi,"Civil Engineering",2023,78,87,71,m,A
366,"Tanya Jain",Hyderabad,"Civil Engineering",2023,71,89,77,f,A
367,"Vishal Dubey",Lucknow,"Information Tech",2023,67,71,79,m,A
368,"Meera Iyer",Delhi,"Computer Science",2025,85,71,66,f,A
369,"Tanya Jain",Indore,"Computer Science",2023,74,88,76,f,A
371,"Vishal Dubey",Lucknow,"Computer Science",2024,62,90,85,m,A
372,"Karan Verma",Jaipur,"Civil Engineering",2023,80,82,67,m,A
373,"Ananya Sharma",Jaipur,"Electronics Engineering",2024,80,89,67,f,A
374,"Arjun Singh",Lucknow,"Computer Science",2025,68,83,83,m,A
375,"Vishal Dubey",Pune,"Computer Science",2023,71,70,72,m,A
376,"Priya Gupta",Hyderabad,"Information Tech",2025,76,84,71,f,A
379,"Tanya Jain",Jaipur,"Computer Science",2025,76,74,86,f,A
380,"Ananya Sharma",Jaipur,"Electrical Engineering",2023,74,74,78,f,A
381,"Rahul Mehta",Pune,"Mechanical Engineering",2025,62,73,80,m,A
383,"Tanya Jain",Lucknow,"Civil Engineering",2024,62,75,83,f,A
385,"Ravi Patel",Mumbai,"Electronics Engineering",2025,70,76,77,m,A
386,"Tanya Jain",Mumbai,"Electronics Engineering",2024,64,81,74,f,A
387,"Ananya Sharma",Jaipur,"IT Engineering",2024,62,75,88,f,A
389,"Ananya Sharma",Pune,"Information Tech",2023,69,72,71,f,A
390,"Priya Gupta",Lucknow,"Computer Science",2024,85,79,72,f,A
391,"Vishal Dubey",Hyderabad,"Electronics Engineering",2024,72,71,74,m,A
393,"Rahul Mehta",Delhi,"Electrical Engineering",2023,73,93,71,m,A
395,"Karan Verma",Mumbai,"Information Tech",2025,85,77,70,m,A
396,"Meera Iyer",Chennai,"Electronics Engineering",2025,61,82,74,f,A
399,"Vishal Dubey",Jaipur,"Information Tech",2024,78,81,69,m,A
400,"Arjun Singh",Indore,"Mechanical Engineering",2024,67,76,79,m,A
401,"Rahul Mehta",Ahmedabad,"IT Engineering",2025,75,82,72,m,A
404,"Tanya Jain",Chennai,"Information Tech",2024,69,92,68,f,A
405,"Rahul Mehta",Ahmedabad,"Civil Engineering",2023,63,79,68,m,A
406,"Rahul Mehta",Delhi,"Electrical Engineering",2024,65,80,71,m,A
408,"Vishal Dubey",Indore,"Computer Science",2023,77,86,70,m,A
410,"Ananya Sharma",Chennai,"Information Tech",2023,84,84,67,f,A
412,"Priya Gupta",Mumbai,"Information Tech",2024,65,74,74,f,A
413,"Arjun Singh",Delhi,"Information Tech",2023,60,71,89,m,A
414,"Vishal Dubey",Mumbai,"IT Engineering",2025,77,90,71,m,A
415,"Priya Gupta",Bangalore,"Electrical Engineering",2024,78,85,73,f,A
416,"Ananya Sharma",Mumbai,"Electronics Engineering",2024,68,72,81,f,A
417,"Ravi Patel",Delhi,"Civil Engineering",2024,73,88,71,m,A
419,"Tanya Jain",Jaipur,"Computer Science",2023,81,85,71,f,A
421,"Arjun Singh",Pune,"Mechanical Engineering",2025,77,81,74,m,A
422,"Rahul Mehta",Jaipur,"Mechanical Engineering",2023,67,73,83,m,A
423,"Ananya Sharma",Delhi,"Information Tech",2023,71,71,87,f,A
427,"Vishal Dubey",Mumbai,"Information Tech",2025,68,79,73,m,A
428,"Arjun Singh",Mumbai,"Information Tech",2023,84,77,71,m,A
429,"Ravi Patel",Ahmedabad,"Computer Science",2023,73,82,74,m,A
431,"Arjun Singh",Jaipur,"Mechanical Engineering",2023,62,85,84,m,A
432,"Priya Gupta",Mumbai,"Electrical Engineering",2024,63,77,90,f,A
433,"Vishal Dubey",Bangalore,"Civil Engineering",2023,70,90,65,m,A
434,"Meera Iyer",Pune,"Electronics Engineering",2024,72,81,74,f,A
435,"Vishal Dubey",Delhi,"Computer Science",2023,67,85,77,m,A
437,"Priya Gupta",Hyderabad,"Mechanical Engineering",2025,63,95,72,f,A
439,"Priya Gupta",Lucknow,"Electrical Engineering",2025,83,88,68,f,A
440,"Meera Iyer",Indore,"Information Tech",2024,89,80,70,f,A
441,"Ravi Patel",Ahmedabad,"Information Tech",2023,69,80,86,m,A
442,"Vishal Dubey",Pune,"Computer Science",2023,78,70,70,m,A
443,"Arjun Singh",Delhi,"Electrical Engineering",2024,73,84,82,m,A
446,"Ananya Sharma",Hyderabad,"Information Tech",2023,76,75,74,f,A
447,"Meera Iyer",Hyderabad,"Information Tech",2024,60,80,69,f,A
448,"Rahul Mehta",Jaipur,"Electrical Engineering",2024,90,78,70,m,A
449,"Rahul Mehta",Lucknow,"Mechanical Engineering",2023,61,71,86,m,A
450,"Vishal Dubey",Indore,"Mechanical Engineering",2025,75,85,75,m,A
452,"Vishal Dubey",Pune,"IT Engineering",2025,60,75,71,m,A
453,"Arjun Singh",Mumbai,"Computer Science",2024,65,70,70,m,A
454,"Sneha Reddy",Indore,"Electrical Engineering",2024,68,82,72,f,A
455,"Meera Iyer",Mumbai,"Mechanical Engineering",2025,63,84,87,f,A
456,"Priya Gupta",Bangalore,"Electrical Engineering",2023,61,88,84,f,A
457,"Rahul Mehta",Lucknow,"Civil Engineering",2024,71,86,78,m,A
458,"Vishal Dubey",Indore,"Civil Engineering",2024,65,90,77,m,A
459,"Meera Iyer",Ahmedabad,"Electrical Engineering",2024,64,83,74,f,A
461,"Meera Iyer",Hyderabad,"Electronics Engineering",2023,72,82,73,f,A
462,"Karan Verma",Lucknow,"IT Engineering",2025,77,76,80,m,A
464,"Arjun Singh",Lucknow,"IT Engineering",2023,69,70,67,m,A
465,"Arjun Singh",Pune,"IT Engineering",2023,61,87,73,m,A
467,"Karan Verma",Ahmedabad,"Civil Engineering",2024,75,74,72,m,A
469,"Vishal Dubey",Chennai,"Computer Science",2025,80,81,77,m,A
470,"Ravi Patel",Jaipur,"Computer Science",2024,77,84,66,m,A
471,"Vishal Dubey",Bangalore,"Information Tech",2024,68,74,77,m,A
474,"Vishal Dubey",Chennai,"Civil Engineering",2024,61,80,75,m,A
476,"Priya Gupta",Pune,"Computer Science",2024,73,94,66,f,A
478,"Ravi Patel",Bangalore,"Civil Engineering",2024,75,84,78,m,A
480,"Meera Iyer",Hyderabad,"Electrical Engineering",2023,69,94,67,f,A
481,"Meera Iyer",Mumbai,"Civil Engineering",2024,85,80,74,f,A
484,"Sneha Reddy",Ahmedabad,"Civil Engineering",2024,79,73,68,f,A
485,"Sneha Reddy",Ahmedabad,"Computer Science",2023,78,80,71,f,A
488,"Arjun Singh",Pune,"IT Engineering",2024,63,79,72,m,A
489,"Rahul Mehta",Chennai,"Computer Science",2024,86,73,80,m,A
490,"Sneha Reddy",Mumbai,"IT Engineering",2025,64,82,88,f,A
491,"Rahul Mehta",Lucknow,"Computer Science",2025,79,70,85,m,A
493,"Rahul Mehta",Ahmedabad,"Civil Engineering",2025,70,77,89,m,A
494,"Rahul Mehta",Ahmedabad,"Civil Engineering",2025,62,76,71,m,A
495,"Vishal Dubey",Chennai,"IT Engineering",2024,70,75,89,m,A
496,"Ravi Patel",Indore,"IT Engineering",2024,87,76,76,m,A
497,"Sneha Reddy",Hyderabad,"Electrical Engineering",2023,81,77,72,f,A
499,"Priya Gupta",Indore,"Electronics Engineering",2024,77,77,81,f,A
500,"Ananya Sharma",Mumbai,"IT Engineering",2024,68,76,90,f,A
501,"Tanya Jain",Mumbai,"Computer Science",2024,86,79,69,f,A
502,"Arjun Singh",Mumbai,"Mechanical Engineering",2025,71,76,66,m,A
506,"Sneha Reddy",Mumbai,"Mechanical Engineering",2024,63,89,82,f,A
508,"Priya Gupta",Chennai,"Mechanical Engineering",2024,65,80,70,f,A
509,"Tanya Jain",Bangalore,"Mechanical Engineering",2025,67,86,79,f,A
510,"Rahul Mehta",Chennai,"Electronics Engineering",2024,68,76,76,m,A
511,"Rahul Mehta",Mumbai,"Civil Engineering",2024,62,74,78,m,A
512,"Vishal Dubey",Chennai,"Electronics Engineering",2024,71,85,73,m,A
513,"Ravi Patel",Mumbai,"Information Tech",2023,67,92,76,m,A
514,"Rahul Mehta",Pune,"Computer Science",2025,67,79,81,m,A
515,"Priya Gupta",Lucknow,"Information Tech",2025,64,80,75,f,A
518,"Karan Verma",Indore,"Civil Engineering",2023,67,75,88,m,A
519,"Tanya Jain",Delhi,"Computer Science",2024,63,84,78,f,A
527,"Ravi Patel",Delhi,"IT Engineering",2025,68,74,74,m,A
528,"Karan Verma",Bangalore,"Computer Science",2023,71,85,81,m,A
529,"Priya Gupta",Ahmedabad,"Electrical Engineering",2025,83,78,74,f,A
530,"Rahul Mehta",Jaipur,"Electronics Engineering",2023,62,81,88,m,A
532,"Priya Gupta",Hyderabad,"Electrical Engineering",2023,90,76,71,f,A
534,"Ananya Sharma",Pune,"Civil Engineering",2023,62,71,71,f,A
536,"Ananya Sharma",Ahmedabad,"Mechanical Engineering",2023,74,95,68,f,A
537,"Ravi Patel",Hyderabad,"IT Engineering",2024,65,80,76,m,A
539,"Karan Verma",Delhi,"Electronics Engineering",2023,66,86,79,m,A
540,"Karan Verma",Mumbai,"Civil Engineering",2025,75,80,79,m,A
542,"Tanya Jain",Bangalore,"Civil Engineering",2025,72,76,80,f,A
543,"Karan Verma",Ahmedabad,"Civil Engineering",2023,74,91,72,m,A
544,"Sneha Reddy",Lucknow,"Mechanical Engineering",2023,64,82,88,f,A
546,"Vishal Dubey",Chennai,"Civil Engineering",2025,61,85,83,m,A
547,"Karan Verma",Pune,"Mechanical Engineering",2025,84,73,82,m,A
548,"Priya Gupta",Hyderabad,"Mechanical Engineering",2024,65,91,70,f,A
550,"Ravi Patel",Hyderabad,"Civil Engineering",2025,62,88,84,m,A
553,"Ananya Sharma",Bangalore,"Computer Science",2025,62,72,89,f,A
556,"Meera Iyer",Bangalore,"Computer Science",2024,88,82,68,f,A
559,"Rahul Mehta",Pune,"Electronics Engineering",2024,67,71,66,m,A
560,"Karan Verma",Chennai,"IT Engineering",2025,71,75,83,m,A
561,"Priya Gupta",Jaipur,"Electronics Engineering",2023,69,81,75,f,A
563,"Arjun Singh",Jaipur,"Electronics Engineering",2024,88,77,71,m,A
567,"Arjun Singh",Ahmedabad,"Mechanical Engineering",2023,71,77,82,m,A
569,"Ravi Patel",Hyderabad,"IT Engineering",2025,75,79,77,m,A
570,"Karan Verma",Mumbai,"Electronics Engineering",2024,65,71,68,m,A
571,"Tanya Jain",Pune,"Information Tech",2025,78,80,76,f,A
573,"Priya Gupta",Pune,"Computer Science",2024,71,72,72,f,A
